USA,5416
None,47
Canada,509
Brazil,33
Kingdom,7
Mexico,117
Ecuador,2
Israel,136
United Kingdom,4
Netherlands,5
Chile,5
Turkey,146
Germany,1
Philippines,1
Australia,78
Bosnia-Herzegovina,1
Dominican Republic,4
Chinese Taipei,30
Singapore,1
China,144
United Arab Emirates,1
Colombia,4
France,2
Japan,4
Poland,3
Czech Republic,1
India,4
Denmark,1
Switzerland,3
Vietnam,1
Morocco,1
Sweden,1
Paraguay,1
Italy,1
Croatia,1
Norway,1
Afghanistan,1
New Zealand,2
South Africa,1
Libya,2
Venezuela,1
Indonesia,1
Ukraine,2
Lesotho,1
Barbados,1
